local_hour,FIRA,Total
0,0.017151899040428,0.017151899040428
1,0.0191319206581951,0.0191319206581951
2,0.0216671227268379,0.0216671227268379
3,0.0247432378450426,0.0247432378450426
4,0.0314674443759435,0.0314674443759435
5,0.0547272992793996,0.0547272992793996
6,0.1053209220498639,0.1053209220498639
7,0.0589139426520892,0.0589139426520892
8,-0.0116644350738662,-0.0116644350738662
9,-0.048827514741204,-0.048827514741204
10,-0.0666346042406468,-0.0666346042406468
11,-0.0767941161870907,-0.0767941161870907
12,-0.0856676266525484,-0.0856676266525484
13,-0.0868804906216014,-0.0868804906216014
14,-0.0713621669266136,-0.0713621669266136
15,-0.0386876255444398,-0.0386876255444398
16,0.0009316916836907,0.0009316916836907
17,0.0426118676910252,0.0426118676910252
18,0.0781118376402767,0.0781118376402767
19,0.077798662586802,0.077798662586802
20,0.0262383305305221,0.0262383305305221
21,0.020662959355134,0.020662959355134
22,0.0185660298427412,0.0185660298427412
23,0.0170726202355821,0.0170726202355821
