local_hour,Double_Differencing_Q2M,Total
0,-1.7305036e-05,0
1,-1.6875336e-05,0
2,-1.6258833e-05,0
3,-1.1960359e-05,0
4,-5.4544325e-06,0
5,-1.9050565e-05,0
6,-0.00015870195,0
7,-0.0004087656,0
8,-0.00056483486,0
9,-0.00045491476,0
10,-0.00027703677,0
11,-0.00017831623,0
12,-0.00011368897,0
13,-6.7906265e-05,0
14,-4.2044285e-05,0
15,-4.845971e-05,0
16,-7.804244e-05,0
17,-0.00011985335,0
18,-0.00017507155,0
19,-0.00015445566,0
20,-6.843737e-05,0
21,-3.4326644e-05,0
22,-2.3963687e-05,0
23,-1.9374074e-05,0
