local_hour,SOILWATER_10CM,Total
0,0.0019265934299093,0.0019265934299093
1,0.0014480342727406,0.0014480342727406
2,0.0008458631582913,0.0008458631582913
3,0.0014138115217386,0.0014138115217386
4,0.000532154342473,0.000532154342473
5,-0.0022436156926384,-0.0022436156926384
6,0.0036087458276573,0.0036087458276573
7,0.0092232211391386,0.0092232211391386
8,0.0056195732133088,0.0056195732133088
9,0.0033792857977563,0.0033792857977563
10,0.0003814034465754,0.0003814034465754
11,0.0016760791987749,0.0016760791987749
12,0.0027552827268793,0.0027552827268793
13,0.0022920369452561,0.0022920369452561
14,0.0019767963622143,0.0019767963622143
15,0.0018337741511921,0.0018337741511921
16,0.0019952361992793,0.0019952361992793
17,0.0026572057475481,0.0026572057475481
18,0.0032828754920883,0.0032828754920883
19,0.0061600430298513,0.0061600430298513
20,0.0063973892503237,0.0063973892503237
21,0.0048234603721864,0.0048234603721864
22,0.0033192759870886,0.0033192759870886
23,0.002626284320882,0.002626284320882
